farmer_id,signup_date,region,farm_size_hectares,primary_crop
1,2026-04-13,Rift Valley,2.0,Coffee
2,2026-06-29,Rift Valley,0.84,Potatoes
3,2026-04-03,Rift Valley,3.89,Coffee
4,2026-01-15,Rift Valley,1.73,Beans
5,2026-04-17,Rift Valley,4.54,Coffee
6,2026-03-13,Eastern,2.87,Coffee
7,2026-01-21,Rift Valley,4.1,Coffee
8,2026-04-13,Eastern,4.91,Potatoes
9,2026-05-02,Rift Valley,4.28,Maize
10,2026-03-16,Eastern,4.4,Maize
11,2026-03-29,Rift Valley,2.34,Coffee
12,2026-04-27,Rift Valley,2.98,Maize
13,2026-04-10,Eastern,1.64,Maize
14,2026-04-14,Eastern,1.38,Coffee
15,2026-06-01,Rift Valley,2.77,Coffee
16,2026-05-11,Nyanza,3.18,Beans
17,2026-05-30,Rift Valley,2.03,Maize
18,2026-02-22,Eastern,3.06,Potatoes
19,2026-01-02,Nyanza,4.49,Coffee
20,2026-03-29,Eastern,3.01,Beans
21,2026-06-07,Eastern,3.74,Potatoes
22,2026-02-07,Eastern,4.12,Maize
23,2026-05-10,Eastern,4.95,Beans
24,2026-01-21,Central,3.21,Coffee
25,2026-06-10,Rift Valley,4.13,Potatoes
26,2026-02-27,Rift Valley,4.83,Coffee
27,2026-01-22,Eastern,4.75,Maize
28,2026-03-30,Nyanza,1.13,Potatoes
29,2026-02-18,Eastern,2.33,Maize
30,2026-02-28,Rift Valley,1.96,Maize
31,2026-06-19,Eastern,0.89,Beans
32,2026-01-15,Central,3.35,Coffee
33,2026-06-24,Rift Valley,3.81,Potatoes
34,2026-02-20,Rift Valley,4.32,Maize
35,2026-04-18,Eastern,1.05,Maize
36,2026-02-24,Eastern,4.44,Potatoes
37,2026-03-05,Rift Valley,3.39,Maize
38,2026-05-11,Rift Valley,3.67,Beans
39,2026-02-20,Rift Valley,4.6,Beans
40,2026-05-15,Rift Valley,3.31,Beans
41,2026-01-21,Nyanza,2.01,Beans
42,2026-03-14,Central,4.21,Maize
43,2026-06-16,Rift Valley,2.13,Potatoes
44,2026-01-18,Nyanza,0.65,Potatoes
45,2026-05-12,Eastern,4.24,Potatoes
46,2026-03-30,Eastern,2.05,Potatoes
47,2026-03-01,Eastern,3.98,Coffee
48,2026-01-14,Rift Valley,2.13,Potatoes
49,2026-01-09,Rift Valley,4.37,Coffee
50,2026-03-31,Eastern,1.49,Coffee
51,2026-02-22,Eastern,4.89,Beans
52,2026-05-10,Rift Valley,4.01,Coffee
53,2026-03-25,Nyanza,1.01,Maize
54,2026-04-02,Central,3.05,Coffee
55,2026-04-21,Rift Valley,4.93,Beans
56,2026-06-21,Nyanza,2.62,Coffee
57,2026-01-08,Nyanza,1.32,Maize
58,2026-06-24,Nyanza,2.68,Maize
59,2026-02-04,Rift Valley,2.81,Maize
60,2026-03-22,Central,3.84,Beans
61,2026-06-13,Eastern,3.64,Beans
62,2026-02-19,Central,2.31,Potatoes
63,2026-04-14,Nyanza,1.48,Beans
64,2026-05-12,Eastern,3.4,Maize
65,2026-01-02,Central,2.4,Maize
66,2026-05-14,Nyanza,1.1,Beans
67,2026-02-23,Central,4.55,Coffee
68,2026-04-16,Eastern,3.61,Beans
69,2026-01-04,Rift Valley,3.57,Beans
70,2026-02-23,Rift Valley,4.2,Maize
71,2026-05-26,Nyanza,2.88,Potatoes
72,2026-02-13,Rift Valley,4.17,Maize
73,2026-06-11,Eastern,2.74,Potatoes
74,2026-01-14,Rift Valley,0.8,Maize
75,2026-04-05,Eastern,2.32,Beans
76,2026-02-17,Nyanza,2.74,Maize
77,2026-01-15,Nyanza,3.74,Maize
78,2026-02-09,Rift Valley,0.98,Maize
79,2026-03-23,Nyanza,1.13,Beans
80,2026-04-21,Eastern,1.69,Beans
81,2026-02-22,Rift Valley,1.7,Beans
82,2026-01-24,Central,3.79,Beans
83,2026-06-03,Eastern,1.63,Potatoes
84,2026-05-04,Rift Valley,3.35,Potatoes
85,2026-02-10,Central,2.72,Coffee
86,2026-06-06,Rift Valley,3.08,Beans
87,2026-01-15,Rift Valley,4.27,Potatoes
88,2026-02-14,Eastern,2.32,Maize
89,2026-03-06,Rift Valley,3.97,Beans
90,2026-03-30,Eastern,2.4,Coffee
91,2026-03-12,Eastern,2.09,Coffee
92,2026-01-09,Central,4.81,Coffee
93,2026-03-29,Central,1.33,Maize
94,2026-05-09,Central,0.91,Potatoes
95,2026-05-16,Central,3.97,Maize
96,2026-03-04,Eastern,0.81,Beans
97,2026-05-19,Rift Valley,4.27,Coffee
98,2026-03-22,Eastern,2.47,Maize
99,2026-05-16,Eastern,4.62,Maize
100,2026-06-12,Rift Valley,3.75,Potatoes
101,2026-06-12,Eastern,3.25,Potatoes
102,2026-02-02,Eastern,4.77,Coffee
103,2026-05-03,Central,2.28,Maize
104,2026-01-05,Nyanza,4.79,Maize
105,2026-02-10,Eastern,1.11,Potatoes
106,2026-01-28,Rift Valley,2.68,Maize
107,2026-05-15,Rift Valley,1.71,Maize
108,2026-03-13,Nyanza,2.93,Maize
109,2026-01-12,Nyanza,1.23,Potatoes
110,2026-06-11,Rift Valley,4.29,Coffee
111,2026-02-02,Eastern,4.31,Beans
112,2026-02-17,Rift Valley,4.8,Coffee
113,2026-05-31,Rift Valley,1.2,Beans
